Sec,NanoSec,0-ref Sec,v_x,v_y,v_z,w_x,w_y,w_z
1633451994,139810562.1,0,0.132572918,-0.101908586,-0.05702364,0,2.07E-16,0
1633451994,173221111.3,0.033410549,0.02331359,-0.077647506,-0.044809303,0,2.09E-16,0
1633451994,207046270.4,0.067235708,0.025366796,0.048428736,-0.001308039,0,2.02E-16,-0.007092788
1633451994,240432739.3,0.100622177,-0.112138614,0.026467738,0.014921274,0,0,0
1633451994,273249149.3,0.133438587,-0.047899369,-0.013156597,-0.005475279,2.84E-28,2.08E-16,0.007335716
1633451994,323167324.1,0.183356762,-0.042580576,-0.006813462,-8.38E-05,0.003668252,0.003668252,2.11E-14
1633451994,373140811.9,0.23333025,-0.006795345,0.004648917,0.029011151,0,-2.08E-16,0
1633451994,406456232.1,0.26664567,-0.022829991,0.004749153,0.030192907,0,-2.09E-16,0
1633451994,439751148.2,0.299940586,0.037981569,-0.001187327,0.012011083,0,-2.08E-16,0
1633451994,473156929,0.333346367,-0.020012125,-0.001590515,0.013647473,-3.35E-43,-2.07E-16,-0.007296513
1633451994,506680250.2,0.366869688,-0.012514214,-0.001366701,0.010778976,0,2.07E-16,0
1633451994,539999246.6,0.400188684,-0.010897366,-0.001248998,0.009726115,0,2.10E-16,0
1633451994,589731216.4,0.449920654,-0.004871394,-0.000562147,0.004369788,0,1.04E-16,0
1633451994,639788150.8,0.499977589,-0.008680552,-0.001002654,0.007792134,0,2.06E-16,0
1633451994,673277378.1,0.533466816,-0.007956746,-0.000919169,0.007143089,0,2.09E-16,0
1633451994,706427574.2,0.566617012,-0.007257475,-0.000838403,0.006515411,0,2.10E-16,0
1633451994,739696264.3,0.599885702,-0.006473641,-0.000747854,0.005811734,0,2.07E-16,0
1633451994,773154258.7,0.633343697,-0.005879307,-0.000679195,0.00527817,0,2.08E-16,0
1633451994,806816577.9,0.667006016,-0.005240558,-0.000605405,0.004704731,0,2.05E-16,0
1633451994,840145587.9,0.700335026,-0.004915637,-0.000567869,0.004413033,0,2.12E-16,0
1633451994,873220205.3,0.733409643,-0.004359529,-0.000503625,0.003913784,0,2.08E-16,0
1633451994,906487703.3,0.766677141,-0.003980931,-0.000459888,0.003573897,0,2.09E-16,0
1633451994,939654350.3,0.799843788,-0.003593917,-0.000415179,0.003226454,0,2.09E-16,0
1633451994,973076820.4,0.833266258,-0.003212329,-0.000371097,0.002883882,0,2.06E-16,0
1633451995,6578683.853,0.866768122,-0.002930821,-0.000338576,0.002631157,0,2.08E-16,0
1633451995,39891242.98,0.900080681,-0.002662167,-0.000307541,0.002389973,0,2.09E-16,0
1633451995,73189735.41,0.933379173,-0.00240354,-0.000277663,0.002157789,0,2.08E-16,0
1633451995,106600761.4,0.966790199,-0.002166715,-0.000250304,0.001945178,0,2.07E-16,0
1633451995,139864921.6,1.000054359,-0.001986979,-0.000229541,0.001783819,0,2.10E-16,0
1633451995,173165798.2,1.033355236,-0.001771494,-0.000204648,0.001590367,0,2.07E-16,0
1633451995,206636428.8,1.066825867,-0.001611596,-0.000186176,0.001446818,0,2.08E-16,0
1633451995,239828825,1.100018263,-0.001476019,-0.000170514,0.001325103,0,2.10E-16,0
1633451995,273112773.9,1.133302212,-0.001313348,-0.000151721,0.001179064,0,2.07E-16,0
1633451995,306609630.6,1.166799068,-0.001194033,-0.000137938,0.001071949,0,2.08E-16,0
