Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492868,716240640,0,-0.352295179,0.388671401,-9.796090028,4.25E-06,0.544512391,-0.002746778
1632492868,726242048,0.010001421,-0.350462082,0.383657226,-9.797783387,-0.000343582,0.542811215,-0.002078811
1632492868,736245504,0.020004749,-0.346532816,0.381367727,-9.795501414,-0.000141952,0.546438217,-0.001327732
1632492868,746245120,0.030004501,-0.33872543,0.382283526,-9.791108147,0.000232981,0.543034494,-0.001506648
1632492868,756252416,0.040011883,-0.334712541,0.388696754,-9.791073661,0.00062734,0.544969618,-0.002069967
1632492868,766255872,0.050015211,-0.33650169,0.394302539,-9.794622293,0.000782682,0.540013075,-0.000783934
1632492868,776255488,0.060014725,-0.33665246,0.393738475,-9.800761526,0.000233424,0.545043647,-0.000462272
1632492868,788254976,0.072014332,-0.342747854,0.394591256,-9.79343396,-8.26E-05,0.540393651,-0.001916608
1632492868,798256640,0.082015991,-0.344633266,0.388129512,-9.798154559,0.000427664,0.54603231,-0.002584831
1632492868,808259840,0.092019081,-0.350771878,0.385198902,-9.798322901,0.001203093,0.541960478,-0.001615612
1632492868,818259456,0.102018833,-0.351246839,0.378624748,-9.795564542,0.000418828,0.545339048,-0.002076347
1632492868,828260608,0.112020016,-0.347702298,0.377893219,-9.793018365,0.00144378,0.542326868,-0.001552723
1632492868,838264064,0.122023344,-0.347157597,0.377382785,-9.791589209,-0.000409819,0.545196354,-0.00074199
1632492868,848263424,0.132022858,-0.340520058,0.383371687,-9.796899006,7.18E-05,0.541441739,-0.001494281
1632492868,858264576,0.14202404,-0.335331221,0.390190171,-9.80061072,0.000448942,0.544658005,-0.001599288
1632492868,868267520,0.152026892,-0.338158261,0.395242925,-9.798016612,-0.000317283,0.541202426,-0.001985636
1632492868,878266880,0.162026167,-0.342113611,0.400432785,-9.794076934,0.000271604,0.544234693,-0.000902013
1632492868,888267776,0.172027111,-0.346551192,0.401165995,-9.796690916,-0.000729677,0.542902946,-0.002112619
1632492868,898270720,0.182029963,-0.351009742,0.40130533,-9.795299169,-0.000350383,0.54479754,-0.001966341
1632492868,908269824,0.192029238,-0.351162595,0.394418566,-9.795198047,0.000684359,0.542166054,-0.001466895
1632492868,918271744,0.202031136,-0.350681131,0.387495197,-9.793000829,0.000582203,0.545523882,-0.001708678
1632492868,928275200,0.212034464,-0.350650334,0.383807813,-9.794862532,0.000177364,0.542858064,-0.001954687
1632492868,938274816,0.222034216,-0.34669513,0.382798563,-9.798141699,-0.000417076,0.545008957,-0.002060019
1632492868,948275968,0.232035398,-0.339336986,0.386063228,-9.794041863,-0.001365948,0.542981088,-0.001378869
1632492868,958279424,0.242038727,-0.338633916,0.384059888,-9.793441559,0.000382489,0.54399389,-0.000989357
1632492868,968290816,0.252050161,-0.338254342,0.389051596,-9.792570621,0.000905382,0.543948531,-0.001544505
1632492868,978292224,0.262051582,-0.336516997,0.389939594,-9.800298585,0.001026821,0.542814136,-0.001739813
1632492868,988295168,0.272054434,-0.343044755,0.390848745,-9.797798001,-0.000522522,0.543079197,-0.001498524
1632492868,998294272,0.282053709,-0.348175249,0.389790833,-9.791767488,0.000656366,0.543197393,-0.003012153
1632492869,8295680,0.29205513,-0.348703803,0.384786522,-9.797352595,4.37E-06,0.544094026,-0.002256286
1632492869,18299136,0.302058458,-0.347949368,0.383556834,-9.798848386,-0.000275984,0.543999076,-0.002697882
1632492869,28298496,0.312057734,-0.345318106,0.382487451,-9.798946001,0.001345512,0.544887304,-0.000974797
1632492869,38299904,0.322059155,-0.343487749,0.381694182,-9.793288999,0.000387253,0.545073092,-0.002080849
1632492869,48303360,0.332062721,-0.339337388,0.390828798,-9.794895849,0.000140958,0.545300186,-0.001802789
1632492869,58302720,0.342061996,-0.33829767,0.396693416,-9.798056359,-1.62E-05,0.543007314,-0.001429009
1632492869,68304128,0.352063417,-0.337390821,0.398693796,-9.790822316,0.00118091,0.544045389,0.000135881
1632492869,78307584,0.362066984,-0.342533627,0.401155217,-9.795942144,-0.000217429,0.542169333,-0.001050333
1632492869,88307200,0.372066498,-0.346145972,0.398981015,-9.794553904,0.000183972,0.544104517,-0.001943501
1632492869,98308352,0.38206768,-0.348877516,0.39548572,-9.795018599,-0.000249123,0.542124152,-0.000885768
1632492869,108311808,0.392071247,-0.350175008,0.386483645,-9.794021405,-0.000502374,0.545902491,-0.001830478
1632492869,118311424,0.402070761,-0.353549417,0.382924747,-9.800253577,-0.000322832,0.542090714,-0.002913523
1632492869,128312832,0.412072182,-0.349355984,0.376493874,-9.795620656,0.000429942,0.543633342,-0.00140196
1632492869,138316032,0.422075272,-0.341647638,0.375601491,-9.795397369,-8.62E-05,0.543533742,-0.001975033
1632492869,148315392,0.432074785,-0.335712402,0.379153412,-9.800509598,0.000121156,0.543081224,-0.00185485
1632492869,158316800,0.442076206,-0.334231443,0.382907504,-9.796562321,-5.63E-05,0.541136861,-0.001856742
1632492869,168320256,0.452079535,-0.334900282,0.390379191,-9.793777659,-0.000353157,0.546284318,-0.002406793
1632492869,178325760,0.462085009,-0.339670017,0.394305826,-9.797330383,-0.000170532,0.542297959,-0.001470899
1632492869,188327168,0.47208643,-0.342418622,0.397095676,-9.798257435,0.000426227,0.54607302,-0.002039445
1632492869,198330624,0.482089996,-0.346273032,0.393360618,-9.797061503,-0.000435923,0.541942239,-0.002732738
1632492869,208329984,0.492089272,-0.349363473,0.39520325,-9.796976163,-0.001138458,0.544831038,-0.002251459
1632492869,218331392,0.502090693,-0.351893247,0.390417185,-9.79363562,-0.000942825,0.541472793,-0.001628011
1632492869,228334848,0.512094259,-0.348760356,0.387449714,-9.797425076,0.000433314,0.543694735,-0.001829206
1632492869,238334464,0.522093773,-0.346066623,0.388787027,-9.795746913,-0.000442933,0.542234182,-0.001438188
1632492869,248335616,0.532094955,-0.340921771,0.389056199,-9.794476747,-0.000302275,0.54514575,-0.001646519
1632492869,258339072,0.542098522,-0.338750893,0.394172556,-9.799134802,-0.000191698,0.5419631,-0.000872469
1632492869,268338688,0.552098036,-0.33821116,0.395226996,-9.799951964,0.000517375,0.544511318,-0.001193583
