time in sec,v_x,v_y,v_z,w_x,w_y,w_z
1632492868,-2.03E-30,0,1.06E-13,-6.48E-17,-2.04E-16,-2.71E-16
1632492868,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492868,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492869,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492869,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492869,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492869,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492869,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492869,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492869,-2.03E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492869,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492869,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492869,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.74E-16
1632492869,-2.03E-30,0,1.06E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492869,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492869,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492869,-2.05E-30,0,1.07E-13,-6.56E-17,-2.06E-16,-2.74E-16
1632492869,-2.00E-30,0,1.05E-13,-6.40E-17,-2.01E-16,-2.67E-16
1632492869,-2.06E-30,0,1.08E-13,-6.58E-17,-2.06E-16,-2.74E-16
1632492869,-2.04E-30,0,1.07E-13,-6.53E-17,-2.05E-16,-2.73E-16
1632492869,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
