Sec,NanoSec,Sec_total,X,Y,Z,x_dot,y_dot,z_dot,q_x,q_y,q_z,q_w
1.63E+09,3.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,4.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,4.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,4.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,5.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,5.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,5.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,7.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,7.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,7.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,8.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,8.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,8.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,3.23E+07,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.62E+07,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.92E+07,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,1.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,1.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,1.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,2.32E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,2.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,2.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,3.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,3.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,3.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,4.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,4.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,4.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,5.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,5.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,5.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,6.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,7.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,7.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,7.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,8.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,8.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,8.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.33E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.66E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,9.99E+08,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
1.63E+09,3.44E+07,1.63E+09,67.375,-14.664,8.6623,0,0,0,-0.051304,-0.16431,-0.0090766,0.98503
