Sec,NanoSec,Sec_total,a_x,a_y,a_z,w_x,w_y,w_z
1.63E+09,4.29E+08,1.63E+09,-9.9514,2.3738,-9.7828,0.0016808,0.54303,-0.0050171
1.63E+09,5.29E+08,1.63E+09,-9.9388,2.3583,-10.291,-0.00030563,0.54216,-0.0086596
1.63E+09,6.29E+08,1.63E+09,-9.8917,2.3652,-10.822,0.0012608,0.54782,-0.007584
1.63E+09,7.29E+08,1.63E+09,-9.8407,2.3586,-11.19,0.00083457,0.55223,-0.00022332
1.63E+09,8.29E+08,1.63E+09,-9.7557,2.3646,-11.714,0.0029292,0.54945,-0.0045641
1.63E+09,9.29E+08,1.63E+09,-9.6684,2.3504,-12.078,0.00086041,0.54064,-0.00097786
1.63E+09,2.93E+07,1.63E+09,-9.5391,2.3608,-12.573,0.00071745,0.53916,-0.0039198
1.63E+09,1.29E+08,1.63E+09,-9.3678,2.3542,-13.083,-0.0025862,0.54186,-0.0034405
1.63E+09,2.29E+08,1.63E+09,-9.2262,2.3617,-13.455,-0.0017964,0.54059,-0.0029641
1.63E+09,3.29E+08,1.63E+09,-9.0192,2.3601,-13.946,0.0043592,0.54403,-0.0037563
1.63E+09,4.29E+08,1.63E+09,-8.8474,2.3496,-14.283,0.0027745,0.5481,-0.0053735
1.63E+09,5.30E+08,1.63E+09,-8.5993,2.3611,-14.716,0.0011918,0.54966,1.63E-05
1.63E+09,6.30E+08,1.63E+09,-8.3097,2.3437,-15.172,0.00068588,0.54225,-0.0021324
1.63E+09,7.30E+08,1.63E+09,-8.0816,2.3713,-15.477,0.0055615,0.5406,-0.0085836
1.63E+09,8.30E+08,1.63E+09,-7.7678,2.3637,-15.898,0.0016061,0.54595,-0.0018048
1.63E+09,9.30E+08,1.63E+09,-7.5023,2.3763,-16.194,0.0016431,0.53498,-0.0067259
1.63E+09,2.98E+07,1.63E+09,-7.1396,2.3712,-16.556,0.0021325,0.54796,-0.0039329
1.63E+09,1.30E+08,1.63E+09,-6.7647,2.3727,-16.945,-0.00080519,0.54944,-0.0017194
1.63E+09,2.30E+08,1.63E+09,-6.4531,2.3867,-17.193,-0.00014036,0.55442,-0.0031261
1.63E+09,3.30E+08,1.63E+09,-6.0365,2.3734,-17.52,0.0012838,0.54434,-0.0019958
1.63E+09,4.30E+08,1.63E+09,-5.7018,2.4127,-17.763,0.0051664,0.54822,-0.0064357
1.63E+09,5.30E+08,1.63E+09,-5.2586,2.3988,-18.032,0.0011112,0.54237,-0.0032288
1.63E+09,6.30E+08,1.63E+09,-4.8066,2.3971,-18.301,0.003605,0.54212,-0.0030568
1.63E+09,7.30E+08,1.63E+09,-4.4081,2.4269,-18.483,0.0028788,0.53779,-0.0017374
1.63E+09,8.30E+08,1.63E+09,-3.9274,2.4247,-18.693,0.00046213,0.54497,-0.0040371
1.63E+09,9.30E+08,1.63E+09,-3.5004,2.452,-18.852,0.0022169,0.55086,-0.0034915
1.63E+09,3.03E+07,1.63E+09,-3.012,2.4517,-19.023,-0.00039122,0.55014,-0.0057871
1.63E+09,1.30E+08,1.63E+09,-2.4861,2.453,-19.144,-0.00021382,0.54986,-0.0046551
1.63E+09,2.30E+08,1.63E+09,-2.0467,2.48,-19.236,0.0030167,0.5434,-0.0033477
1.63E+09,3.30E+08,1.63E+09,-1.5386,2.4594,-19.289,-1.27E-05,0.54574,-0.00098295
1.63E+09,4.30E+08,1.63E+09,-1.0281,2.5393,-19.313,0.0036076,0.5395,-0.0040621
1.63E+09,5.31E+08,1.63E+09,-0.48978,2.4741,-19.384,0.0018098,0.54206,-0.0061211
1.63E+09,6.31E+08,1.63E+09,0.015051,2.5209,-19.352,0.0027556,0.54524,-0.0024709
1.63E+09,7.31E+08,1.63E+09,0.53538,2.5272,-19.348,0.00056394,0.55246,-0.0049696
1.63E+09,8.31E+08,1.63E+09,1.0392,2.5365,-19.256,0.0013595,0.54527,-0.0070437
1.63E+09,9.31E+08,1.63E+09,1.5777,2.5681,-19.155,0.0024485,0.54346,-0.0037513
1.63E+09,3.08E+07,1.63E+09,2.0829,2.5813,-19.048,0.00077852,0.5465,-0.0031968
1.63E+09,1.31E+08,1.63E+09,2.5769,2.5762,-18.901,0.00053932,0.54327,-0.0056236
1.63E+09,2.31E+08,1.63E+09,3.0955,2.6012,-18.721,0.0023804,0.54622,-0.0025426
1.63E+09,3.31E+08,1.63E+09,3.5714,2.6098,-18.506,-0.00095704,0.54116,-0.0023243
1.63E+09,4.31E+08,1.63E+09,4.0987,2.6237,-18.243,0.002173,0.54599,0.00035996
1.63E+09,5.31E+08,1.63E+09,4.5525,2.6439,-18.009,0.0037742,0.55167,-0.002773
1.63E+09,6.31E+08,1.63E+09,4.98,2.6366,-17.704,0.0029375,0.5476,-0.0039386
1.63E+09,7.31E+08,1.63E+09,5.4501,2.6648,-17.363,0.0023322,0.5382,-0.0053253
1.63E+09,8.31E+08,1.63E+09,5.854,2.6688,-17.066,0.00020161,0.54334,-0.0015468
1.63E+09,9.31E+08,1.63E+09,6.2973,2.6915,-16.629,0.00069441,0.53839,-0.0050691
1.63E+09,3.13E+07,1.63E+09,6.6548,2.6982,-16.26,0.00078034,0.54131,-0.0027082
1.63E+09,1.31E+08,1.63E+09,7.005,2.7044,-15.869,0.00031386,0.5517,-0.0077768
1.63E+09,2.31E+08,1.63E+09,7.3661,2.7207,-15.383,0.0030496,0.55389,-0.0027363
1.63E+09,3.31E+08,1.63E+09,7.6518,2.7266,-14.945,0.0019801,0.54901,-0.00441
1.63E+09,4.32E+08,1.63E+09,7.9761,2.7427,-14.433,0.0032212,0.55066,-0.0056679
1.63E+09,5.32E+08,1.63E+09,8.2143,2.752,-13.962,-0.00074429,0.54082,-0.0035318
1.63E+09,6.32E+08,1.63E+09,8.4243,2.7563,-13.487,0.00029857,0.5405,-0.0013976
1.63E+09,7.32E+08,1.63E+09,8.642,2.7689,-12.91,0.00072034,0.54232,-0.0013547
1.63E+09,8.32E+08,1.63E+09,8.7963,2.7724,-12.41,0.0010264,0.54274,-0.0070924
1.63E+09,9.32E+08,1.63E+09,8.9488,2.7891,-11.825,-0.0014464,0.54795,-0.0036909
1.63E+09,3.18E+07,1.63E+09,9.0435,2.7875,-11.305,0.0021945,0.54709,-0.0033104
1.63E+09,1.32E+08,1.63E+09,9.1145,2.7913,-10.807,0.0034492,0.53958,-0.0039181
1.63E+09,2.32E+08,1.63E+09,9.1598,2.8024,-10.162,0.0019169,0.54753,-0.0059926
1.63E+09,3.32E+08,1.63E+09,9.1616,2.8066,-9.6524,-0.00093369,0.54334,-0.0034479
1.63E+09,4.32E+08,1.63E+09,9.1332,2.8108,-9.0173,-0.0014551,0.54298,-0.0059962
