Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z
1633451993,867801600,0,-0.375101214,-0.036054819,-9.804384978,-0.000396114,-0.000536505,-0.000676233
1633451993,877805568,0.010003805,-0.367056074,-0.037898632,-9.798785258,-0.00023881,-0.001105729,-0.000958256
1633451993,887805696,0.020004034,-0.36601504,-0.037619486,-9.801005857,-0.000549495,-0.00035291,0.000814652
1633451993,897808128,0.030006409,-0.371182323,-0.036446828,-9.80171079,0.00020293,-0.000884948,-0.000538311
1633451993,907812352,0.040010691,-0.378760467,-0.038549694,-9.802897369,0.000979083,-0.001041062,0.001158415
1633451993,917824512,0.05002284,-0.387658132,-0.033969499,-9.798913268,0.000729507,-0.001001029,0.000545167
1633451993,927826432,0.060024738,-0.393155232,-0.033770076,-9.800209153,0.000244416,-0.000798987,-0.000218697
1633451993,937830400,0.070028782,-0.395752116,-0.035748267,-9.796994867,0.000483392,-0.000679283,0.000867945
1633451993,947830272,0.080028534,-0.39132071,-0.03619508,-9.796229144,0.0004818,-0.000937445,-5.49E-05
1633451993,957832192,0.090030432,-0.386529676,-0.038516842,-9.799065244,-1.68E-05,-0.001334558,-1.04E-05
1633451993,967836160,0.100034475,-0.377316113,-0.039750119,-9.799948457,0.000848501,-0.00051474,-0.001041887
1633451993,977836032,0.110034466,-0.373254928,-0.03938003,-9.801660521,0.00042072,-0.001388066,-0.000652419
1633451993,987837952,0.120036364,-0.370206281,-0.040336805,-9.800378665,0.001198226,-0.000524111,-0.001387243
1633451993,997841920,0.130040169,-0.373179963,-0.035276051,-9.80228596,0.001548707,0.000120994,0.000581996
1633451994,7842048,0.140040398,-0.378165898,-0.031917772,-9.802136322,0.000762539,-0.000654576,0.000264346
1633451994,17844480,0.150042772,-0.385467344,-0.028700258,-9.803177355,0.00057962,-0.000831945,0.000479397
1633451994,27848704,0.160047054,-0.389789883,-0.031057717,-9.797717336,0.000805787,-0.000497935,0.000217206
1633451994,37848832,0.170047283,-0.391629556,-0.029906284,-9.799050631,-0.000263562,-0.001598271,0.000713678
1633451994,47851264,0.180049658,-0.3893592,-0.031470713,-9.801710206,-0.000207347,-0.00124687,0.001104845
1633451994,57855488,0.19005394,-0.383402667,-0.033083343,-9.800921101,-0.000762719,-0.001931044,-0.000757283
