Sec,NanoSec,0ref_Sec,a_x,a_y,a_z,w_x,w_y,w_z
1632492868,429000960,0,-9.951411247,2.373792648,-9.782792091,0.001680774,0.543033242,-0.005017115
1632492868,529049856,0.100049019,-9.938762665,2.358283043,-10.29148769,-0.000305632,0.542163312,-0.008659596
1632492868,629094400,0.200093508,-9.891739845,2.365167618,-10.82203293,0.001260846,0.547820866,-0.007584046
1632492868,729140992,0.300140142,-9.84066391,2.358635664,-11.19021702,0.000834567,0.552226722,-0.00022332
1632492868,829189632,0.400188684,-9.75565815,2.364572525,-11.71445465,0.002929162,0.549450397,-0.004564093
1632492868,929240064,0.500239134,-9.668449402,2.350385904,-12.07757664,0.000860406,0.540644228,-0.000977856
1632492869,29286656,0.600285769,-9.539132118,2.360819578,-12.5733757,0.000717445,0.539161444,-0.00391979
1632492869,129341184,0.700340271,-9.367768288,2.35422945,-13.08337593,-0.002586223,0.541862071,-0.003440496
1632492869,229391616,0.80039072,-9.226183891,2.361698389,-13.45535946,-0.001796366,0.540589809,-0.002964129
1632492869,329437952,0.900437117,-9.019178391,2.360072613,-13.94615269,0.004359199,0.54403162,-0.003756278
1632492869,429486080,1.000485182,-8.847439766,2.349642038,-14.28258419,0.002774511,0.54809916,-0.005373497
1632492869,529536256,1.100535393,-8.599332809,2.361095428,-14.71614647,0.001191808,0.54965508,1.63E-05
1632492869,629582592,1.200581789,-8.309742928,2.34368515,-15.17230988,0.000685884,0.542254925,-0.002132425
1632492869,729630720,1.300629854,-8.081644058,2.371265888,-15.47659492,0.00556154,0.540597856,-0.008583606
1632492869,829680896,1.400680065,-7.7677598,2.36367321,-15.89760017,0.001606067,0.545946836,-0.001804778
1632492869,929726720,1.500725985,-7.502342224,2.376281261,-16.19404221,0.00164308,0.534980536,-0.006725923
1632492870,29774592,1.600773811,-7.139639378,2.371169806,-16.55619621,0.002132489,0.547960997,-0.003932877
1632492870,129824512,1.700823545,-6.764747143,2.37266469,-16.94469452,-0.000805189,0.549439251,-0.001719425
1632492870,229870336,1.800869465,-6.453142643,2.386708975,-17.19306183,-0.000140363,0.554421186,-0.003126072
1632492870,329918208,1.900917292,-6.036484718,2.373421669,-17.51974297,0.001283752,0.544337153,-0.001995774
1632492870,429974016,2.000973225,-5.7018466,2.412716866,-17.76328659,0.005166386,0.548224568,-0.006435713
1632492870,530019584,2.101018667,-5.258574486,2.398751259,-18.03181458,0.001111244,0.542372286,-0.003228819
1632492870,630073088,2.201072216,-4.806556702,2.397119522,-18.30062103,0.003605019,0.542118192,-0.003056803
1632492870,730122752,2.30112195,-4.408091545,2.426912069,-18.48283005,0.002878776,0.537786067,-0.001737424
1632492870,830174464,2.401173592,-3.927352905,2.424683571,-18.6931324,0.000462133,0.544969499,-0.004037131
1632492870,930221824,2.501220942,-3.500403404,2.451993465,-18.8524704,0.002216908,0.550860226,-0.00349148
1632492871,30271232,2.601270437,-3.011988401,2.451710939,-19.02334976,-0.000391224,0.550138295,-0.005787136
1632492871,130322688,2.70132184,-2.486073732,2.452971935,-19.14364243,-0.000213823,0.549862087,-0.004655063
1632492871,230370048,2.80136919,-2.046717882,2.480042934,-19.23572922,0.003016746,0.543401957,-0.003347688
1632492871,330419456,2.901418686,-1.538617253,2.459434986,-19.28934097,-1.27E-05,0.545737863,-0.000982946
1632492871,430470656,3.001469851,-1.028077841,2.539317608,-19.31327057,0.003607593,0.539499938,-0.004062055
1632492871,530523904,3.101523161,-0.489784122,2.474072695,-19.38402176,0.001809785,0.542058766,-0.006121054
