,Sec,NanoSec,0-ref Sec,a_x,a_y,a_z,w_x,w_y,w_z,w_left,w_right,X,Y,Z,qX,qY,qZ,qW,v_x,v_y,v_z
i,1633451993,869251072,0,-0.370348247,0.052538864,-9.80911902,-0.000215346,0.536552072,-0.000937887,,,,,,,,,,,,
p,1633451994,123014750,0,,,,0,2.07E-16,0,,,-0.15823796,0.155218643,0.080507172,0.019427881,-0.02189486,-0.002203506,0.999569066,0.132572918,-0.101908586,-0.05702364
e,1633451993,908047163,0,,,,,,,0,0,,,,,,,,,,
of,1633451993,908047199,0,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
ho,1633451993,908047163,0,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451993,879256576,0.010005474,-0.364768109,0.05355706,-9.805290987,0.001098025,0.53535831,-0.002078245,,,,,,,,,,,,
i,1633451993,889264128,0.020013094,-0.365761431,0.054422459,-9.802991477,0.000704483,0.535120666,-0.002165254,,,,,,,,,,,,
of,1633451993,935221672,0.027174473,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451993,899267584,0.030016661,-0.371475607,0.053171244,-9.801899006,6.77E-05,0.536368847,-0.001141548,,,,,,,,,,,,
p,1633451994,156606750,0.033591986,,,,0,2.09E-16,0,,,-0.153717044,0.151848755,0.078656176,0.019427881,-0.02189486,-0.002203506,0.999569066,0.02331359,-0.077647506,-0.044809303
i,1633451993,909273088,0.040022135,-0.380869349,0.054965991,-9.803162742,-0.000528797,0.537228703,4.07E-05,,,,,,,,,,,,
of,1633451993,955270290,0.047223091,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
of,1633451993,955270290,0.047223091,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451993,919280640,0.050029516,-0.388954309,0.054235978,-9.80161902,-0.000860146,0.53682977,-0.001045189,,,,,,,,,,,,
i,1633451993,929290240,0.060039282,-0.393722035,0.053050385,-9.805689046,9.55E-05,0.535084605,-0.001507445,,,,,,,,,,,,
p,1633451994,189835750,0.066821098,,,,0,2.02E-16,-0.007092788,,,-0.152886974,0.149324185,0.077103137,0.019427881,-0.02189486,-0.002203506,0.999569066,0.025366796,0.048428736,-0.001308039
i,1633451993,939295744,0.070044756,-0.390816158,0.053300071,-9.797085468,8.41E-05,0.537785053,-0.002560668,,,,,,,,,,,,
i,1633451993,949303296,0.080052376,-0.386585315,0.051184783,-9.796575181,-0.000500485,0.536580384,-0.002381505,,,,,,,,,,,,
of,1633451993,995221376,0.087174177,,,,0,0,0,,,0,0,0,0,0,0,1,0,0,0
i,1633451993,959306752,0.090055704,-0.37946182,0.048859468,-9.804264566,0.000123612,0.537433684,-0.001152895,,,,,,,,,,,,
