Sec,NanoSec,0-ref Sec,v_x,v_y,v_z,w_x,w_y,w_z
1633451994,139810562.1,0,-0.135851313,0.095317026,-0.060594713,0,6.30E-36,1.91E-16
1633451994,173221111.3,0.033410549,-0.025853775,0.075194403,-0.047517538,0,6.37E-36,1.93E-16
1633451994,207046270.4,0.067235708,-0.023726455,-0.049268988,0.000387124,-0.007080633,-0.000274793,-0.000311065
1633451994,240432739.3,0.100622177,0.112940685,-0.022164709,0.01585502,2.20E-34,0,1.27E-16
1633451994,273249149.3,0.133438587,0.047438403,0.014557024,-0.005925817,0.007323146,0.000284204,0.000321719
1633451994,323167324.1,0.183356762,0.042326167,0.008241985,-0.000317887,0.000303074,-0.003646168,-0.003677738
1633451994,373140811.9,0.23333025,0.006909736,-0.003385121,0.029158747,0,2.08E-16,4.33E-19
1633451994,406456232.1,0.26664567,0.022936943,-0.002899226,0.030345769,0,2.09E-16,4.35E-19
1633451994,439751148.2,0.299940586,-0.038016238,0.000322394,0.011955632,0,2.08E-16,4.33E-19
1633451994,473156929,0.333346367,0.019928487,0.002747151,0.013585911,-0.007284018,-0.000284475,-0.000318226
1633451994,506680250.2,0.366869688,0.012446562,0.002166014,0.010726192,0,-2.07E-16,1.53E-17
1633451994,539999246.6,0.400188684,0.010836015,0.001956922,0.009677869,0,-2.10E-16,1.56E-17
1633451994,589731216.4,0.449920654,0.00484381,0.000879375,0.004348072,0,-1.04E-16,7.75E-18
1633451994,639788150.8,0.499977589,0.008631361,0.001568126,0.007753402,0,-2.06E-16,1.53E-17
1633451994,673277378.1,0.533466816,0.007911651,0.001437514,0.007107581,0,-2.09E-16,1.55E-17
1633451994,706427574.2,0.566617012,0.007216343,0.001311197,0.006483024,0,-2.10E-16,1.56E-17
1633451994,739696264.3,0.599885702,0.006436952,0.001169585,0.005782844,0,-2.07E-16,1.54E-17
1633451994,773154258.7,0.633343697,0.005845986,0.001062208,0.005251933,0,-2.08E-16,1.54E-17
1633451994,806816577.9,0.667006016,0.005210857,0.000946806,0.004681344,0,-2.05E-16,1.52E-17
1633451994,840145587.9,0.700335026,0.004887778,0.000888102,0.004391096,0,-2.12E-16,1.57E-17
1633451994,873220205.3,0.733409643,0.004334821,0.000787631,0.00389433,0,-2.08E-16,1.54E-17
1633451994,906487703.3,0.766677141,0.003958369,0.00071923,0.003556132,0,-2.09E-16,1.55E-17
1633451994,939654350.3,0.799843788,0.003573549,0.000649308,0.003210416,0,-2.09E-16,1.55E-17
1633451994,973076820.4,0.833266258,0.003194123,0.000580367,0.002869546,0,-2.06E-16,1.53E-17
1633451995,6578683.853,0.866768122,0.00291421,0.000529507,0.002618078,0,-2.08E-16,1.54E-17
1633451995,39891242.98,0.900080681,0.002647079,0.00048097,0.002378092,0,-2.09E-16,1.55E-17
1633451995,73189735.41,0.933379173,0.002389918,0.000434244,0.002147063,0,-2.08E-16,1.54E-17
1633451995,106600761.4,0.966790199,0.002154435,0.000391457,0.001935509,0,-2.07E-16,1.54E-17
1633451995,139864921.6,1.000054359,0.001975717,0.000358984,0.001774952,0,-2.10E-16,1.56E-17
1633451995,173165798.2,1.033355236,0.001761454,0.000320053,0.001582462,0,-2.07E-16,1.53E-17
1633451995,206636428.8,1.066825867,0.001602463,0.000291165,0.001439626,0,-2.08E-16,1.54E-17
1633451995,239828825,1.100018263,0.001467654,0.00026667,0.001318517,0,-2.10E-16,1.56E-17
1633451995,273112773.9,1.133302212,0.001305905,0.000237281,0.001173203,0,-2.07E-16,1.53E-17
1633451995,306609630.6,1.166799068,0.001187266,0.000215724,0.00106662,0,-2.08E-16,1.54E-17
1633451995,356653690.3,1.216843128,0.000538846,9.79E-05,0.000484091,0,-1.04E-16,7.73E-18
