Sec,NanoSec,Sec_total,Left_vel,Right_vel
1.63E+09,8.22E+08,1.63E+09,0,0
1.63E+09,9.21E+08,1.63E+09,0,0
1.63E+09,2.03E+07,1.63E+09,0,0
1.63E+09,1.19E+08,1.63E+09,0,0
1.63E+09,2.18E+08,1.63E+09,0,0
1.63E+09,3.17E+08,1.63E+09,0,0
1.63E+09,4.16E+08,1.63E+09,0,0
1.63E+09,5.15E+08,1.63E+09,0,0
1.63E+09,6.26E+08,1.63E+09,0,0
1.63E+09,7.25E+08,1.63E+09,0,0
1.63E+09,8.24E+08,1.63E+09,0,0
1.63E+09,9.22E+08,1.63E+09,0,0
1.63E+09,2.15E+07,1.63E+09,0,0
1.63E+09,1.20E+08,1.63E+09,0,0
1.63E+09,2.19E+08,1.63E+09,0,0
1.63E+09,3.18E+08,1.63E+09,0,0
1.63E+09,4.17E+08,1.63E+09,0,0
1.63E+09,5.16E+08,1.63E+09,0,0
1.63E+09,6.15E+08,1.63E+09,0,0
1.63E+09,7.26E+08,1.63E+09,0,0
1.63E+09,8.25E+08,1.63E+09,0,0
1.63E+09,9.23E+08,1.63E+09,0,0
1.63E+09,2.23E+07,1.63E+09,0,0
1.63E+09,1.21E+08,1.63E+09,0,0
1.63E+09,2.20E+08,1.63E+09,0,0
1.63E+09,3.19E+08,1.63E+09,0,0
1.63E+09,4.18E+08,1.63E+09,0,0
1.63E+09,5.18E+08,1.63E+09,0,0
1.63E+09,6.17E+08,1.63E+09,0,0
1.63E+09,7.16E+08,1.63E+09,0,0
1.63E+09,8.26E+08,1.63E+09,0,0
1.63E+09,9.25E+08,1.63E+09,0,0
1.63E+09,2.34E+07,1.63E+09,0,0
1.63E+09,1.22E+08,1.63E+09,0,0
1.63E+09,2.21E+08,1.63E+09,0,0
1.63E+09,3.20E+08,1.63E+09,0,0
1.63E+09,4.19E+08,1.63E+09,0,0
1.63E+09,5.18E+08,1.63E+09,0,0
1.63E+09,6.18E+08,1.63E+09,0,0
1.63E+09,7.16E+08,1.63E+09,0,0
1.63E+09,8.15E+08,1.63E+09,0,0
1.63E+09,9.26E+08,1.63E+09,0,0
1.63E+09,2.45E+07,1.63E+09,0,0
1.63E+09,1.23E+08,1.63E+09,0,0
1.63E+09,2.22E+08,1.63E+09,0,0
1.63E+09,3.22E+08,1.63E+09,0,0
1.63E+09,4.21E+08,1.63E+09,0,0
1.63E+09,5.19E+08,1.63E+09,0,0
1.63E+09,6.19E+08,1.63E+09,0,0
1.63E+09,7.17E+08,1.63E+09,0,0
1.63E+09,8.16E+08,1.63E+09,0,0
1.63E+09,9.15E+08,1.63E+09,0,0
1.63E+09,2.56E+07,1.63E+09,0,0
1.63E+09,1.25E+08,1.63E+09,0,0
1.63E+09,2.23E+08,1.63E+09,0,0
1.63E+09,3.22E+08,1.63E+09,0,0
