Sec,NanoSec,v_x,v_y,v_z,w_x,w_y,w_z
1632492868,415738582.6,-2.03E-30,0,1.06E-13,-6.48E-17,-2.04E-16,-2.71E-16
1632492868,449152708.1,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492868,482355594.6,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492868,515641689.3,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492868,549184799.2,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492868,582456588.7,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492868,615719795.2,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492868,649220943.5,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492868,682512760.2,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492868,715721607.2,-2.03E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492868,749100685.1,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492868,782528162,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492868,815855741.5,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492868,849244117.7,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492868,882559299.5,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.74E-16
1632492868,915784359,-2.03E-30,0,1.06E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492868,949202776,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492868,982585907,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492869,15770912.17,-2.05E-30,0,1.07E-13,-6.56E-17,-2.06E-16,-2.74E-16
1632492869,49251794.82,-2.00E-30,0,1.05E-13,-6.40E-17,-2.01E-16,-2.67E-16
1632492869,82681179.05,-2.06E-30,0,1.08E-13,-6.58E-17,-2.06E-16,-2.74E-16
1632492869,115761756.9,-2.04E-30,0,1.07E-13,-6.53E-17,-2.05E-16,-2.73E-16
1632492869,149109840.4,-2.02E-30,0,1.06E-13,-6.47E-17,-2.03E-16,-2.70E-16
1632492869,182563781.7,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,215776205.1,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492869,249103307.7,-2.02E-30,0,1.06E-13,-6.45E-17,-2.02E-16,-2.69E-16
1632492869,282617807.4,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,315920829.8,-2.04E-30,0,1.07E-13,-6.53E-17,-2.05E-16,-2.73E-16
1632492869,349156856.5,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492869,382513284.7,-2.03E-30,0,1.06E-13,-6.48E-17,-2.04E-16,-2.71E-16
1632492869,415919303.9,-2.03E-30,0,1.06E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492869,449147701.3,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.74E-16
1632492869,482542276.4,-2.01E-30,0,1.05E-13,-6.43E-17,-2.02E-16,-2.69E-16
1632492869,516038417.8,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492869,549243450.2,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492869,582513809.2,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,615950584.4,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.71E-16
1632492869,649222850.8,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492869,682507276.5,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492869,715946674.3,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,749192714.7,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.74E-16
1632492869,782427787.8,-2.03E-30,0,1.06E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492869,815841674.8,-2.03E-30,0,1.06E-13,-6.48E-17,-2.04E-16,-2.71E-16
1632492869,849151611.3,-2.04E-30,0,1.07E-13,-6.54E-17,-2.05E-16,-2.73E-16
1632492869,882439136.5,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,915848255.2,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492869,949103355.4,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492869,982508659.4,-2.01E-30,0,1.05E-13,-6.43E-17,-2.02E-16,-2.68E-16
1632492870,16888618.47,-1.93E-30,0,1.01E-13,-6.19E-17,-1.94E-16,-2.58E-16
1632492870,50188064.58,-2.15E-30,0,1.13E-13,-6.87E-17,-2.16E-16,-2.87E-16
1632492870,82547187.81,-2.04E-30,0,1.07E-13,-6.54E-17,-2.05E-16,-2.73E-16
1632492870,115921735.8,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.69E-16
1632492870,149356365.2,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492870,182559251.8,-2.05E-30,0,1.07E-13,-6.55E-17,-2.05E-16,-2.73E-16
1632492870,215906143.2,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492870,249350309.4,-2.03E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492870,282537937.2,-2.05E-30,0,1.07E-13,-6.56E-17,-2.06E-16,-2.74E-16
1632492870,315878868.1,-2.02E-30,0,1.06E-13,-6.45E-17,-2.02E-16,-2.69E-16
1632492870,349347114.6,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492870,382559299.5,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492870,415839672.1,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.71E-16
1632492870,449224710.5,-2.03E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492870,482467651.4,-2.04E-30,0,1.07E-13,-6.54E-17,-2.05E-16,-2.73E-16
1632492870,515834331.5,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492870,549251794.8,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492870,582542896.3,-2.03E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492870,615871191,-2.03E-30,0,1.07E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492870,649285793.3,-2.02E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492870,682577133.2,-2.05E-30,0,1.07E-13,-6.55E-17,-2.06E-16,-2.73E-16
1632492870,715812683.1,-2.03E-30,0,1.06E-13,-6.50E-17,-2.04E-16,-2.71E-16
1632492870,749305248.3,-2.02E-30,0,1.06E-13,-6.45E-17,-2.03E-16,-2.69E-16
1632492870,782743215.6,-2.04E-30,0,1.07E-13,-6.52E-17,-2.05E-16,-2.72E-16
1632492870,816393375.4,-1.99E-30,0,1.04E-13,-6.37E-17,-2.00E-16,-2.66E-16
1632492870,849698782,-2.08E-30,0,1.09E-13,-6.66E-17,-2.09E-16,-2.78E-16
1632492870,882718324.7,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492870,915962219.2,-2.05E-30,0,1.08E-13,-6.57E-17,-2.06E-16,-2.74E-16
1632492870,949644327.2,-1.97E-30,0,1.03E-13,-6.31E-17,-1.98E-16,-2.64E-16
1632492870,983087778.1,-2.08E-30,0,1.09E-13,-6.66E-17,-2.09E-16,-2.78E-16
1632492871,15932559.97,-2.05E-30,0,1.07E-13,-6.54E-17,-2.05E-16,-2.73E-16
1632492871,49295663.83,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.69E-16
1632492871,82742214.2,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492871,115931749.3,-2.05E-30,0,1.07E-13,-6.56E-17,-2.06E-16,-2.74E-16
1632492871,149245262.1,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492871,182735204.7,-2.03E-30,0,1.06E-13,-6.49E-17,-2.04E-16,-2.71E-16
1632492871,215922355.7,-2.06E-30,0,1.08E-13,-6.58E-17,-2.07E-16,-2.75E-16
1632492871,249132156.4,-2.03E-30,0,1.06E-13,-6.48E-17,-2.03E-16,-2.70E-16
1632492871,282656669.6,-2.02E-30,0,1.06E-13,-6.46E-17,-2.03E-16,-2.70E-16
1632492871,315914154.1,-2.06E-30,0,1.08E-13,-6.58E-17,-2.07E-16,-2.75E-16
1632492871,349182128.9,-2.02E-30,0,1.06E-13,-6.45E-17,-2.03E-16,-2.69E-16
1632492871,382625103,-2.04E-30,0,1.07E-13,-6.51E-17,-2.04E-16,-2.72E-16
1632492871,415923595.4,0.004976914,7.46E-05,-0.013413576,-0.374611695,0.027463324,-0.150465442
1632492871,449314594.3,-0.000143072,-0.001523667,0.03251889,0.013726992,-0.001507896,0.00470243
1632492871,482726573.9,-0.001349397,-0.000513728,0.013611567,3.47E-17,1.66E-15,0
1632492871,516051292.4,-0.000472743,-0.000494756,0.011461102,3.47E-17,1.67E-15,0
1632492871,549250125.9,-0.000102246,-0.000257984,0.005688737,3.49E-17,1.68E-15,0
1632492871,582646131.5,-0.000279076,-0.000166014,0.004085778,3.43E-17,1.65E-15,0
1632492871,616107702.3,-0.001229978,-6.19E-05,0.003767941,3.48E-17,1.67E-15,0
1632492871,649236202.2,-0.001139425,-8.65E-05,0.004109668,3.50E-17,1.68E-15,0
1632492871,682494640.4,0.000302283,-0.000193606,0.003513814,3.45E-17,1.66E-15,0
1632492871,716069221.5,-0.000932071,-4.83E-05,0.00288392,3.44E-17,1.65E-15,0
